text,category
 Can you defend the idea that Simon's incident with the pig's head is the most mystical in the story?,Evaluation
 Judge the value of . . .?,Evaluation
Compare how different children come to school.,Analysis
 Choose and illustrate the two most important events in the story.,Evaluation
Tell in your own words the beginning of the book.,Comprehension
Translate the following passage from The Iliad into English.,Comprehension
 Write a logically organized argument in favor of a given position.,Synthesis
Rewrite you predicted equation for the ideal gas law,Comprehension
 Evaluate the corrosion monitoring needs of a chemical processing plant,Evaluation
Identify ordinal positions,Knowledge
 How would you feel if . . .?,Evaluation
Participate in a mock election,Application
Investigate innovations that can enhance future Olympics.,Analysis
Show how E-CRM can be used to improve marketing positioning as explained in the article,Application
Compare the place where the story happened with where you live.,Analysis
Identify the five major prophets of the Old Testament.,Knowledge
"Compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process?",Analysis
"Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",Analysis
What is the setting of To Kill a Mockingbird?,Knowledge
How could someone modify the Cornell Method to make it effective for researching a topic for a paper?,Application
Inspect the size of the loaded data: how many objects and variables does the iris data matrix contain?,Analysis
List four types of clauses mentioned in the article,Knowledge
how the investigation was undertaken,Analysis
 Evaluate whether their model is a true representation of the local environment.,Evaluation
Compare and contrast the waterfall model with the prototyping model.,Analysis
Sketch a typical absorption process in a packed column with regeneration in form of,Application
Demonstrate using the OPAC and your knowledge of library organization to find a book about turtles.,Application
Construct an analog circuit with the following specifications,Application
Tell in your own words how the setting of the story made it more interesting.,Comprehension
Paraphrase an important speech,Comprehension
List three predominant economic systems that exist,Knowledge
Summarize a historical document,Comprehension
Can you solve the following problem,Application
Which of the following is the method for determining the volume of a cylinder?,Knowledge
State the definition of application in Bloom's Taxonomy.,Knowledge
when did saudi arabia start using internet,Knowledge
 Are you a . . . person?,Evaluation
 Predict whether Phillip will ever go back to visit the Cay after several years of recovery. Assuming he gets his sight back.,Evaluation
How many states are there in USA,Knowledge
 Defend your use of a specific strategy in solving the problem.,Evaluation
"Classify the following substances as particle, atom, element, molecule, compound",Comprehension
 Explain choices made in making recommendations to an end user.,Evaluation
How would you relate position concept with position strategy,Application
Distinguish between abstract date types (ADTs) and implementations of ADTs,Analysis
Recall basic math facts,Knowledge
Use a sketch too find the exact value of each expression,Application
 Write a song about 'Old MacDonald' who had a bulldozer instead of a farm.,Synthesis
Invent a machine to do a specific task.,Synthesis
Briefly describe the author's approach to the liabilities of the GOTO statement,Comprehension
 Decide whether you could have survived on the island blind and alone. Write about things that would have been challenging making sure to,Evaluation
design a cost effective strategy to generate reliable data.,Synthesis
Express the rule in function notation,Comprehension
"In your own words, how would you summarize the story up",Comprehension
"Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",Synthesis
 Prepare a book jacket that illustrates the kind of book as well as the story.,Synthesis
 Suppose Phillip wasn't rescued shortly after Timothy's death. How long could he have survived?,Synthesis
"Develop a way to teach the concept of ""adjectives"".",Synthesis
who was the first man on the moon,Knowledge
Create an equation to represent the solution to this problem.,Synthesis
Create a storyboard for a sequel to your book. Use the same characters.,Synthesis
Compare this book to the last book you read.,Analysis
Describe in your own words how to borrow a book from the library.,Comprehension
Summarize Jem's beliefs about Boo Radley,Comprehension
